Suspicious Path Analysis Log
Scan Time: 2026-06-17 11:04:46.251736
=================================================================

ALL PROCESS PATHS:
-----------------------------------------------------------------
PID:180 | Registry | Unknown | Registry
PID:712 | smss.exe | Trusted | C:\Windows\System32\smss.exe
PID:856 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:1168 | csrss.exe | Trusted | C:\Windows\System32\csrss.exe
PID:1332 | wininit.exe | Trusted | C:\Windows\System32\wininit.exe
PID:1480 | services.exe | Trusted | C:\Windows\System32\services.exe
PID:1488 | LsaIso.exe | Trusted | C:\Windows\System32\LsaIso.exe
PID:1508 | lsass.exe | Trusted | C:\Windows\System32\lsass.exe
PID:1576 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:1644 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:1672 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:1680 | fontdrvhost.exe | Trusted | C:\Windows\System32\fontdrvhost.exe
PID:1720 | WUDFHost.exe | Trusted | C:\Windows\System32\WUDFHost.exe
PID:1760 | msedgewebview2.exe | Trusted | C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.69\msedgewebview2.exe
PID:1804 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:1872 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:1948 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:1968 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:2068 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:2096 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:2172 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:2184 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:2228 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:2236 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:2252 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:2320 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:2472 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:2504 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:2516 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:2524 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:2532 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:2560 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:2776 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:2788 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:2812 | UserOOBEBroker.exe | Trusted | C:\Windows\System32\oobe\UserOOBEBroker.exe
PID:2844 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:2856 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:2888 | chrome.exe | Trusted | C:\Program Files\Google\Chrome\Application\chrome.exe
PID:3120 | OpenConsole.exe | Unknown | D:\VS CODE\Microsoft VS Code\6928394f91\resources\app\node_modules\node-pty\build\Release\conpty\OpenConsole.exe
PID:3156 | powershell.exe | Trusted | C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
PID:3192 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:3256 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:3284 | amdfendrsr.exe | Trusted | C:\Windows\System32\DriverStore\FileRepository\amdfendr.inf_amd64_987f8cede005f427\amdfendrsr.exe
PID:3304 | atiesrxx.exe | Trusted | C:\Windows\System32\DriverStore\FileRepository\u0419944.inf_amd64_e8cfc9b2346618e0\B419488\atiesrxx.exe
PID:3312 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:3396 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:3404 | smartscreen.exe | Trusted | C:\Windows\System32\smartscreen.exe
PID:3464 | powershell.exe | Trusted | C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
PID:3560 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:3612 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:3628 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:3640 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:3652 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:3684 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:3704 | amdow.exe | Trusted | C:\Program Files\WindowsApps\AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.25.10201.0_x64__0a9344xs7nr4m\radeonsoftware\amdow.exe
PID:3764 | audiodg.exe | Trusted | C:\Windows\System32\audiodg.exe
PID:3808 | chrome.exe | Trusted | C:\Program Files\Google\Chrome\Application\chrome.exe
PID:3812 | ApplicationFrameHost.exe | Trusted | C:\Windows\System32\ApplicationFrameHost.exe
PID:3868 | Widgets.exe | Trusted | C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_526.11701.50.0_x64__cw5n1h2txyewy\Dashboard\Widgets.exe
PID:3900 | FileSyncHelper.exe | Trusted | C:\Program Files\Microsoft OneDrive\26.095.0519.0003\FileSyncHelper.exe
PID:3912 | MemCompression | Unknown | MemCompression
PID:3924 | cncmd.exe | Trusted | C:\Program Files\WindowsApps\AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.25.10201.0_x64__0a9344xs7nr4m\radeonsoftware\cncmd.exe
PID:3988 | dasHost.exe | Trusted | C:\Windows\System32\dasHost.exe
PID:4020 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:4160 | ShellExperienceHost.exe | Trusted | C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe
PID:4168 | dasHost.exe | Trusted | C:\Windows\System32\dasHost.exe
PID:4220 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:4228 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:4248 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:4288 | msedgewebview2.exe | Trusted | C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.69\msedgewebview2.exe
