Windows Process Scan Log
Scan Time: 2026-06-17 11:03:16.585399
======================================================================

PID:0      | System Idle Process       | running      | 0.01      MB | NT AUTHORITY\SYSTEM
PID:4      | System                    | running      | 3.17      MB | NT AUTHORITY\SYSTEM
PID:140    |                           | stopped      | 63.53     MB | N/A
PID:180    | Registry                  | running      | 61.09     MB | N/A
PID:712    | smss.exe                  | running      | 0.71      MB | N/A
PID:856    | svchost.exe               | running      | 9.87      MB | N/A
PID:1168   | csrss.exe                 | running      | 3.98      MB | N/A
PID:1332   | wininit.exe               | running      | 4.53      MB | N/A
PID:1480   | services.exe              | running      | 8.05      MB | N/A
PID:1488   | LsaIso.exe                | running      | 1.69      MB | N/A
PID:1508   | lsass.exe                 | running      | 25.66     MB | N/A
PID:1576   | svchost.exe               | running      | 2.04      MB | N/A
PID:1644   | svchost.exe               | running      | 35.38     MB | N/A
PID:1672   | svchost.exe               | running      | 25.28     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:1680   | fontdrvhost.exe           | running      | 1.10      MB | N/A
PID:1720   | WUDFHost.exe              | running      | 2.37      MB | N/A
PID:1760   | msedgewebview2.exe        | running      | 12.66     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:1804   | svchost.exe               | running      | 17.61     MB | N/A
PID:1872   | svchost.exe               | running      | 8.48      MB | N/A
PID:1948   | svchost.exe               | running      | 8.38      MB | N/A
PID:1968   | svchost.exe               | running      | 9.20      MB | N/A
PID:2068   | svchost.exe               | running      | 5.29      MB | N/A
PID:2096   | svchost.exe               | running      | 3.21      MB | N/A
PID:2172   | svchost.exe               | running      | 37.64     MB | N/A
PID:2184   | svchost.exe               | running      | 6.37      MB | N/A
PID:2228   | svchost.exe               | running      | 8.17      MB | N/A
PID:2236   | svchost.exe               | running      | 13.99     MB | N/A
PID:2252   | svchost.exe               | running      | 8.60      MB | N/A
PID:2320   | svchost.exe               | running      | 7.50      MB | N/A
PID:2472   | svchost.exe               | running      | 7.18      MB | N/A
PID:2504   | svchost.exe               | running      | 8.28      MB | N/A
PID:2516   | svchost.exe               | running      | 5.54      MB | N/A
PID:2524   | svchost.exe               | running      | 16.74     MB | N/A
PID:2532   | svchost.exe               | running      | 6.73      MB | N/A
PID:2560   | svchost.exe               | running      | 5.82      MB | N/A
PID:2776   | svchost.exe               | running      | 26.44     MB | N/A
PID:2788   | svchost.exe               | running      | 6.05      MB | N/A
PID:2812   | UserOOBEBroker.exe        | running      | 11.32     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:2844   | svchost.exe               | running      | 5.17      MB | N/A
PID:2856   | svchost.exe               | running      | 14.79     MB | N/A
PID:2888   | chrome.exe                | running      | 19.42     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:3120   | OpenConsole.exe           | running      | 11.36     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:3156   | powershell.exe            | running      | 75.43     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:3192   | svchost.exe               | running      | 5.29      MB | N/A
PID:3256   | svchost.exe               | running      | 5.64      MB | N/A
PID:3284   | amdfendrsr.exe            | running      | 2.79      MB | N/A
PID:3304   | atiesrxx.exe              | running      | 3.82      MB | N/A
PID:3312   | svchost.exe               | running      | 6.05      MB | N/A
PID:3396   | svchost.exe               | running      | 18.64     MB | N/A
PID:3404   | smartscreen.exe           | running      | 12.95     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:3464   | powershell.exe            | running      | 72.72     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:3560   | svchost.exe               | running      | 7.67      MB | N/A
PID:3612   | svchost.exe               | running      | 2.38      MB | N/A
PID:3628   | svchost.exe               | running      | 19.35     MB | N/A
PID:3640   | svchost.exe               | running      | 5.85      MB | N/A
PID:3652   | svchost.exe               | running      | 12.46     MB | N/A
PID:3684   | svchost.exe               | running      | 5.55      MB | N/A
PID:3704   | amdow.exe                 | running      | 2.30      MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:3764   | audiodg.exe               | running      | 22.82     MB | N/A
PID:3808   | chrome.exe                | running      | 49.76     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:3812   | ApplicationFrameHost.exe  | running      | 47.55     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:3868   | Widgets.exe               | running      | 70.20     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:3900   | FileSyncHelper.exe        | running      | 19.88     MB | N/A
PID:3912   | MemCompression            | running      | 434.35    MB | N/A
PID:3924   | cncmd.exe                 | running      | 9.42      MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:3988   | dasHost.exe               | running      | 13.35     MB | N/A
PID:4020   | svchost.exe               | running      | 7.42      MB | N/A
PID:4160   | ShellExperienceHost.exe   | stopped      | 73.89     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:4168   | dasHost.exe               | running      | 2.80      MB | N/A
PID:4220   | svchost.exe               | running      | 52.12     MB | N/A
PID:4228   | svchost.exe               | running      | 18.01     MB | N/A
PID:4248   | svchost.exe               | running      | 12.14     MB | N/A
PID:4288   | msedgewebview2.exe        | running      | 0.29      MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:4304   | svchost.exe               | running      | 4.73      MB | N/A
PID:4348   | Locator.exe               | running      | 1.00      MB | N/A
PID:4376   | LenovoUtilityService.exe  | running      | 10.87     MB | N/A
PID:4416   | svchost.exe               | running      | 7.96      MB | N/A
PID:4508   | svchost.exe               | running      | 16.53     MB | N/A
PID:4540   | servicehost.exe           | running      | 30.52     MB | N/A
PID:4568   | svchost.exe               | running      | 11.32     MB | N/A
PID:4576   | svchost.exe               | running      | 42.27     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:4624   | chrome.exe                | running      | 41.16     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:4696   | spoolsv.exe               | running      | 26.48     MB | N/A
PID:4704   | svchost.exe               | running      | 4.18      MB | N/A
PID:4732   | svchost.exe               | running      | 18.01     MB | N/A
PID:4772   | msedgewebview2.exe        | running      | 77.05     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:4844   | svchost.exe               | running      | 16.70     MB | N/A
PID:4860   | svchost.exe               | running      | 3.89      MB | N/A
PID:4876   | LenovoVantageService.exe  | running      | 42.11     MB | N/A
PID:4916   | pet.exe                   | running      | 8.32      MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:5012   | svchost.exe               | running      | 53.43     MB | N/A
PID:5020   | DAX3API.exe               | running      | 10.17     MB | N/A
PID:5036   | armsvc.exe                | running      | 1.86      MB | N/A
PID:5052   | svchost.exe               | running      | 41.10     MB | N/A
PID:5076   | ElevocControlService.exe  | running      | 8.66      MB | N/A
PID:5088   | svchost.exe               | running      | 7.80      MB | N/A
PID:5108   | LNBITSSvc.exe             | running      | 30.64     MB | N/A
PID:5192   | MpDefenderCoreService.exe | running      | 20.03     MB | N/A
PID:5284   | mtkbtsvc.exe              | running      | 2.32      MB | N/A
PID:5292   | RtkAudUService64.exe      | running      | 9.37      MB | N/A
PID:5300   | svchost.exe               | running      | 2.77      MB | N/A
PID:5312   | UltraViewer_Service.exe   | running      | 6.51      MB | N/A
PID:5384   | svchost.exe               | running      | 5.46      MB | N/A
PID:5412   | svchost.exe               | running      | 49.30     MB | N/A
PID:5476   | mc-fw-host.exe            | running      | 211.80    MB | N/A
PID:5512   | mscopilot.exe             | running      | 18.41     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:5528   | svchost.exe               | running      | 15.89     MB | N/A
PID:5628   | powershell.exe            | running      | 72.56     MB | LAPTOP-8I6CI9I2\BHUKAILASH
