Day 5 - Windows Service Audit Log
Scan Time: 2026-06-17 11:04:26.863428
Total Services: 283
=================================================================

Name   : AarSvc_6b163b87
Status : Stopped
Start  : Manual

Name   : AdobeARMservice
Status : Running
Start  : Automatic

Name   : ADPSvc
Status : Stopped
Start  : Manual

Name   : ALG
Status : Stopped
Start  : Manual

Name   : AMD Crash Defender Service
Status : Running
Start  : Automatic

Name   : AMD External Events Utility
Status : Running
Start  : Automatic

Name   : AppIDSvc
Status : Stopped
Start  : Manual

Name   : Appinfo
Status : Running
Start  : Manual

Name   : AppReadiness
Status : Stopped
Start  : Manual

Name   : AppXSvc
Status : Running
Start  : Automatic

Name   : ApxSvc
Status : Stopped
Start  : Manual

Name   : AudioEndpointBuilder
Status : Running
Start  : Automatic

Name   : Audiosrv
Status : Running
Start  : Automatic

Name   : autotimesvc
Status : Stopped
Start  : Manual

Name   : AxInstSV
Status : Stopped
Start  : Manual

Name   : BcastDVRUserService_6b163b87
Status : Stopped
Start  : Manual

Name   : BDESVC
Status : Running
Start  : Manual

Name   : BFE
Status : Running
Start  : Automatic

Name   : BITS
Status : Running
Start  : Automatic

Name   : BluetoothUserService_6b163b87
Status : Running
Start  : Manual

Name   : BrokerInfrastructure
Status : Running
Start  : Automatic

Name   : BTAGService
Status : Running
Start  : Manual

Name   : BthAvctpSvc
Status : Running
Start  : Manual

Name   : bthserv
Status : Running
Start  : Manual

Name   : camsvc
Status : Running
Start  : Automatic

Name   : CaptureService_6b163b87
Status : Stopped
Start  : Manual

Name   : cbdhsvc_6b163b87
Status : Running
Start  : Automatic

Name   : CDPSvc
Status : Running
Start  : Automatic

Name   : CDPUserSvc_6b163b87
Status : Running
Start  : Automatic

Name   : CertPropSvc
Status : Stopped
Start  : Manual

Name   : ClickToRunSvc
Status : Running
Start  : Automatic

Name   : ClipSVC
Status : Stopped
Start  : Manual

Name   : CloudBackupRestoreSvc_6b163b87
Status : Stopped
Start  : Manual

Name   : COMSysApp
Status : Stopped
Start  : Manual

Name   : ConsentUxUserSvc_6b163b87
Status : Stopped
Start  : Manual

Name   : CoreMessagingRegistrar
Status : Running
Start  : Automatic

Name   : CredentialEnrollmentManagerUserSvc_6b163b87
Status : Stopped
Start  : Manual

Name   : CryptSvc
Status : Running
Start  : Automatic

Name   : DcomLaunch
Status : Running
Start  : Automatic

Name   : dcsvc
Status : Stopped
Start  : Manual

Name   : defragsvc
Status : Stopped
Start  : Manual

Name   : DeviceAssociationBrokerSvc_6b163b87
Status : Stopped
Start  : Manual

Name   : DeviceAssociationService
Status : Running
Start  : Automatic

Name   : DeviceInstall
Status : Stopped
Start  : Manual

Name   : DevicePickerUserSvc_6b163b87
Status : Stopped
Start  : Manual

Name   : DevicesFlowUserSvc_6b163b87
Status : Running
Start  : Manual

Name   : DevQueryBroker
Status : Running
Start  : Manual

Name   : Dhcp
Status : Running
Start  : Automatic

Name   : diagsvc
Status : Stopped
Start  : Manual

Name   : DiagTrack
Status : Running
Start  : Automatic

Name   : DispBrokerDesktopSvc
Status : Running
Start  : Automatic

Name   : DisplayEnhancementService
